job_0: TOTAL: 1066, ACCEPT: 400(37.52%), REJECT: 351(32.93%), RESERVE: 315(29.55%)
job_247: TOTAL: 166, ACCEPT: 19(11.45%), REJECT: 88(53.01%), RESERVE: 59(35.54%)
job_248: TOTAL: 361, ACCEPT: 171(47.37%), REJECT: 38(10.53%), RESERVE: 152(42.11%)
job_249: TOTAL: 1088, ACCEPT: 470(43.20%), REJECT: 290(26.65%), RESERVE: 328(30.15%)
job_250: TOTAL: 678, ACCEPT: 253(37.32%), REJECT: 236(34.81%), RESERVE: 189(27.88%)
job_251: TOTAL: 897, ACCEPT: 332(37.01%), REJECT: 268(29.88%), RESERVE: 297(33.11%)
job_252: TOTAL: 307, ACCEPT: 145(47.23%), REJECT: 62(20.20%), RESERVE: 100(32.57%)
job_253: TOTAL: 838, ACCEPT: 405(48.33%), REJECT: 172(20.53%), RESERVE: 261(31.15%)
job_254: TOTAL: 884, ACCEPT: 480(54.30%), REJECT: 161(18.21%), RESERVE: 243(27.49%)
job_255: TOTAL: 709, ACCEPT: 221(31.17%), REJECT: 241(33.99%), RESERVE: 247(34.84%)
job_256: TOTAL: 375, ACCEPT: 133(35.47%), REJECT: 123(32.80%), RESERVE: 119(31.73%)
job_257: TOTAL: 316, ACCEPT: 274(86.71%), REJECT: 31(9.81%), RESERVE: 11(3.48%)
job_258: TOTAL: 1161, ACCEPT: 418(36.00%), REJECT: 378(32.56%), RESERVE: 365(31.44%)
job_259: TOTAL: 68, ACCEPT: 27(39.71%), REJECT: 41(60.29%), RESERVE: 0(0.00%)
job_260: TOTAL: 147, ACCEPT: 82(55.78%), REJECT: 30(20.41%), RESERVE: 35(23.81%)
job_261: TOTAL: 60, ACCEPT: 23(38.33%), REJECT: 24(40.00%), RESERVE: 13(21.67%)
job_262: TOTAL: 22, ACCEPT: 4(18.18%), REJECT: 18(81.82%), RESERVE: 0(0.00%)
job_263: TOTAL: 367, ACCEPT: 191(52.04%), REJECT: 105(28.61%), RESERVE: 71(19.35%)
job_264: TOTAL: 1436, ACCEPT: 489(34.05%), REJECT: 473(32.94%), RESERVE: 474(33.01%)
job_265: TOTAL: 260, ACCEPT: 86(33.08%), REJECT: 96(36.92%), RESERVE: 78(30.00%)
job_266: TOTAL: 900, ACCEPT: 345(38.33%), REJECT: 263(29.22%), RESERVE: 292(32.44%)
job_267: TOTAL: 530, ACCEPT: 278(52.45%), REJECT: 118(22.26%), RESERVE: 134(25.28%)
job_268: TOTAL: 405, ACCEPT: 148(36.54%), REJECT: 123(30.37%), RESERVE: 134(33.09%)
job_269: TOTAL: 89, ACCEPT: 49(55.06%), REJECT: 40(44.94%), RESERVE: 0(0.00%)
job_270: TOTAL: 44, ACCEPT: 7(15.91%), REJECT: 37(84.09%), RESERVE: 0(0.00%)
job_271: TOTAL: 677, ACCEPT: 233(34.42%), REJECT: 216(31.91%), RESERVE: 228(33.68%)
job_272: TOTAL: 3744, ACCEPT: 480(12.82%), REJECT: 3024(80.77%), RESERVE: 240(6.41%)
job_273: TOTAL: 803, ACCEPT: 290(36.11%), REJECT: 254(31.63%), RESERVE: 259(32.25%)
job_274: TOTAL: 389, ACCEPT: 150(38.56%), REJECT: 127(32.65%), RESERVE: 112(28.79%)
job_275: TOTAL: 673, ACCEPT: 284(42.20%), REJECT: 166(24.67%), RESERVE: 223(33.14%)
job_276: TOTAL: 633, ACCEPT: 331(52.29%), REJECT: 141(22.27%), RESERVE: 161(25.43%)
job_277: TOTAL: 625, ACCEPT: 308(49.28%), REJECT: 157(25.12%), RESERVE: 160(25.60%)
job_278: TOTAL: 629, ACCEPT: 244(38.79%), REJECT: 189(30.05%), RESERVE: 196(31.16%)
job_279: TOTAL: 35, ACCEPT: 9(25.71%), REJECT: 26(74.29%), RESERVE: 0(0.00%)
job_280: TOTAL: 250, ACCEPT: 96(38.40%), REJECT: 81(32.40%), RESERVE: 73(29.20%)
job_281: TOTAL: 1234, ACCEPT: 447(36.22%), REJECT: 398(32.25%), RESERVE: 389(31.52%)
job_282: TOTAL: 658, ACCEPT: 226(34.35%), REJECT: 221(33.59%), RESERVE: 211(32.07%)
job_283: TOTAL: 483, ACCEPT: 136(28.16%), REJECT: 204(42.24%), RESERVE: 143(29.61%)
job_284: TOTAL: 575, ACCEPT: 300(52.17%), REJECT: 108(18.78%), RESERVE: 167(29.04%)
job_285: TOTAL: 730, ACCEPT: 276(37.81%), REJECT: 341(46.71%), RESERVE: 113(15.48%)
job_286: TOTAL: 1082, ACCEPT: 474(43.81%), REJECT: 249(23.01%), RESERVE: 359(33.18%)
job_287: TOTAL: 1239, ACCEPT: 478(38.58%), REJECT: 365(29.46%), RESERVE: 396(31.96%)
job_288: TOTAL: 394, ACCEPT: 297(75.38%), REJECT: 97(24.62%), RESERVE: 0(0.00%)
job_289: TOTAL: 266, ACCEPT: 87(32.71%), REJECT: 94(35.34%), RESERVE: 85(31.95%)
job_290: TOTAL: 239, ACCEPT: 132(55.23%), REJECT: 41(17.15%), RESERVE: 66(27.62%)
job_291: TOTAL: 35, ACCEPT: 17(48.57%), REJECT: 14(40.00%), RESERVE: 4(11.43%)
job_292: TOTAL: 703, ACCEPT: 220(31.29%), REJECT: 266(37.84%), RESERVE: 217(30.87%)
job_293: TOTAL: 92, ACCEPT: 63(68.48%), REJECT: 28(30.43%), RESERVE: 1(1.09%)
job_294: TOTAL: 857, ACCEPT: 325(37.92%), REJECT: 275(32.09%), RESERVE: 257(29.99%)
job_295: TOTAL: 26, ACCEPT: 3(11.54%), REJECT: 23(88.46%), RESERVE: 0(0.00%)
job_296: TOTAL: 349, ACCEPT: 160(45.85%), REJECT: 84(24.07%), RESERVE: 105(30.09%)
job_297: TOTAL: 595, ACCEPT: 192(32.27%), REJECT: 185(31.09%), RESERVE: 218(36.64%)
job_298: TOTAL: 196, ACCEPT: 153(78.06%), REJECT: 0(0.00%), RESERVE: 43(21.94%)
job_299: TOTAL: 339, ACCEPT: 154(45.43%), REJECT: 65(19.17%), RESERVE: 120(35.40%)
job_300: TOTAL: 461, ACCEPT: 135(29.28%), REJECT: 144(31.24%), RESERVE: 182(39.48%)
job_301: TOTAL: 1123, ACCEPT: 457(40.69%), REJECT: 322(28.67%), RESERVE: 344(30.63%)
job_302: TOTAL: 508, ACCEPT: 188(37.01%), REJECT: 141(27.76%), RESERVE: 179(35.24%)
job_303: TOTAL: 507, ACCEPT: 187(36.88%), REJECT: 172(33.93%), RESERVE: 148(29.19%)
job_304: TOTAL: 681, ACCEPT: 285(41.85%), REJECT: 188(27.61%), RESERVE: 208(30.54%)
job_305: TOTAL: 152, ACCEPT: 74(48.68%), REJECT: 52(34.21%), RESERVE: 26(17.11%)
job_306: TOTAL: 1045, ACCEPT: 497(47.56%), REJECT: 261(24.98%), RESERVE: 287(27.46%)
job_307: TOTAL: 491, ACCEPT: 199(40.53%), REJECT: 159(32.38%), RESERVE: 133(27.09%)
job_308: TOTAL: 980, ACCEPT: 386(39.39%), REJECT: 256(26.12%), RESERVE: 338(34.49%)
job_309: TOTAL: 254, ACCEPT: 65(25.59%), REJECT: 111(43.70%), RESERVE: 78(30.71%)
job_310: TOTAL: 68, ACCEPT: 48(70.59%), REJECT: 20(29.41%), RESERVE: 0(0.00%)
job_311: TOTAL: 370, ACCEPT: 136(36.76%), REJECT: 124(33.51%), RESERVE: 110(29.73%)
job_312: TOTAL: 787, ACCEPT: 332(42.19%), REJECT: 192(24.40%), RESERVE: 263(33.42%)
job_313: TOTAL: 366, ACCEPT: 163(44.54%), REJECT: 98(26.78%), RESERVE: 105(28.69%)
job_314: TOTAL: 27, ACCEPT: 6(22.22%), REJECT: 21(77.78%), RESERVE: 0(0.00%)
job_315: TOTAL: 324, ACCEPT: 95(29.32%), REJECT: 122(37.65%), RESERVE: 107(33.02%)
job_316: TOTAL: 200, ACCEPT: 99(49.50%), REJECT: 24(12.00%), RESERVE: 77(38.50%)
job_317: TOTAL: 682, ACCEPT: 132(19.35%), REJECT: 449(65.84%), RESERVE: 101(14.81%)
job_318: TOTAL: 268, ACCEPT: 130(48.51%), REJECT: 32(11.94%), RESERVE: 106(39.55%)
job_319: TOTAL: 1124, ACCEPT: 404(35.94%), REJECT: 364(32.38%), RESERVE: 356(31.67%)
job_320: TOTAL: 1023, ACCEPT: 442(43.21%), REJECT: 279(27.27%), RESERVE: 302(29.52%)
job_321: TOTAL: 597, ACCEPT: 323(54.10%), REJECT: 128(21.44%), RESERVE: 146(24.46%)
job_322: TOTAL: 673, ACCEPT: 322(47.85%), REJECT: 189(28.08%), RESERVE: 162(24.07%)
job_323: TOTAL: 250, ACCEPT: 83(33.20%), REJECT: 89(35.60%), RESERVE: 78(31.20%)
job_324: TOTAL: 638, ACCEPT: 272(42.63%), REJECT: 190(29.78%), RESERVE: 176(27.59%)
job_325: TOTAL: 504, ACCEPT: 191(37.90%), REJECT: 171(33.93%), RESERVE: 142(28.17%)
job_326: TOTAL: 969, ACCEPT: 368(37.98%), REJECT: 294(30.34%), RESERVE: 307(31.68%)
job_327: TOTAL: 1130, ACCEPT: 442(39.12%), REJECT: 328(29.03%), RESERVE: 360(31.86%)
job_328: TOTAL: 263, ACCEPT: 108(41.06%), REJECT: 91(34.60%), RESERVE: 64(24.33%)
job_329: TOTAL: 188, ACCEPT: 130(69.15%), REJECT: 20(10.64%), RESERVE: 38(20.21%)
job_330: TOTAL: 735, ACCEPT: 308(41.90%), REJECT: 210(28.57%), RESERVE: 217(29.52%)
job_331: TOTAL: 442, ACCEPT: 243(54.98%), REJECT: 96(21.72%), RESERVE: 103(23.30%)
job_332: TOTAL: 441, ACCEPT: 189(42.86%), REJECT: 124(28.12%), RESERVE: 128(29.02%)
job_333: TOTAL: 371, ACCEPT: 125(33.69%), REJECT: 122(32.88%), RESERVE: 124(33.42%)
job_334: TOTAL: 504, ACCEPT: 158(31.35%), REJECT: 171(33.93%), RESERVE: 175(34.72%)
job_335: TOTAL: 1213, ACCEPT: 435(35.86%), REJECT: 391(32.23%), RESERVE: 387(31.90%)
job_336: TOTAL: 936, ACCEPT: 408(43.59%), REJECT: 227(24.25%), RESERVE: 301(32.16%)
job_337: TOTAL: 676, ACCEPT: 230(34.02%), REJECT: 237(35.06%), RESERVE: 209(30.92%)
job_338: TOTAL: 1374, ACCEPT: 436(31.73%), REJECT: 837(60.92%), RESERVE: 101(7.35%)
job_339: TOTAL: 1088, ACCEPT: 445(40.90%), REJECT: 318(29.23%), RESERVE: 325(29.87%)
job_340: TOTAL: 977, ACCEPT: 395(40.43%), REJECT: 276(28.25%), RESERVE: 306(31.32%)
job_341: TOTAL: 206, ACCEPT: 69(33.50%), REJECT: 71(34.47%), RESERVE: 66(32.04%)
job_342: TOTAL: 899, ACCEPT: 291(32.37%), REJECT: 370(41.16%), RESERVE: 238(26.47%)
job_343: TOTAL: 110, ACCEPT: 38(34.55%), REJECT: 1(0.91%), RESERVE: 71(64.55%)
job_344: TOTAL: 867, ACCEPT: 332(38.29%), REJECT: 332(38.29%), RESERVE: 203(23.41%)
job_345: TOTAL: 280, ACCEPT: 221(78.93%), REJECT: 59(21.07%), RESERVE: 0(0.00%)
job_346: TOTAL: 713, ACCEPT: 151(21.18%), REJECT: 361(50.63%), RESERVE: 201(28.19%)
job_347: TOTAL: 411, ACCEPT: 234(56.93%), REJECT: 75(18.25%), RESERVE: 102(24.82%)
job_348: TOTAL: 1373, ACCEPT: 485(35.32%), REJECT: 497(36.20%), RESERVE: 391(28.48%)
job_349: TOTAL: 1037, ACCEPT: 352(33.94%), REJECT: 336(32.40%), RESERVE: 349(33.65%)
job_350: TOTAL: 20, ACCEPT: 17(85.00%), REJECT: 3(15.00%), RESERVE: 0(0.00%)
job_351: TOTAL: 1113, ACCEPT: 474(42.59%), REJECT: 283(25.43%), RESERVE: 356(31.99%)
job_352: TOTAL: 1074, ACCEPT: 439(40.88%), REJECT: 274(25.51%), RESERVE: 361(33.61%)
job_353: TOTAL: 148, ACCEPT: 62(41.89%), REJECT: 50(33.78%), RESERVE: 36(24.32%)
job_354: TOTAL: 613, ACCEPT: 241(39.31%), REJECT: 186(30.34%), RESERVE: 186(30.34%)
job_355: TOTAL: 48, ACCEPT: 13(27.08%), REJECT: 29(60.42%), RESERVE: 6(12.50%)
job_356: TOTAL: 800, ACCEPT: 429(53.62%), REJECT: 178(22.25%), RESERVE: 193(24.12%)
job_357: TOTAL: 149, ACCEPT: 68(45.64%), REJECT: 27(18.12%), RESERVE: 54(36.24%)
job_358: TOTAL: 623, ACCEPT: 252(40.45%), REJECT: 169(27.13%), RESERVE: 202(32.42%)
job_359: TOTAL: 357, ACCEPT: 132(36.97%), REJECT: 123(34.45%), RESERVE: 102(28.57%)
job_360: TOTAL: 55, ACCEPT: 47(85.45%), REJECT: 4(7.27%), RESERVE: 4(7.27%)
job_361: TOTAL: 356, ACCEPT: 92(25.84%), REJECT: 119(33.43%), RESERVE: 145(40.73%)
job_362: TOTAL: 2447, ACCEPT: 150(6.13%), REJECT: 2182(89.17%), RESERVE: 115(4.70%)
job_363: TOTAL: 980, ACCEPT: 422(43.06%), REJECT: 255(26.02%), RESERVE: 303(30.92%)
job_364: TOTAL: 357, ACCEPT: 287(80.39%), REJECT: 35(9.80%), RESERVE: 35(9.80%)
job_365: TOTAL: 623, ACCEPT: 291(46.71%), REJECT: 122(19.58%), RESERVE: 210(33.71%)
job_366: TOTAL: 454, ACCEPT: 158(34.80%), REJECT: 172(37.89%), RESERVE: 124(27.31%)
job_367: TOTAL: 1221, ACCEPT: 467(38.25%), REJECT: 367(30.06%), RESERVE: 387(31.70%)
job_368: TOTAL: 511, ACCEPT: 195(38.16%), REJECT: 162(31.70%), RESERVE: 154(30.14%)
job_369: TOTAL: 126, ACCEPT: 67(53.17%), REJECT: 46(36.51%), RESERVE: 13(10.32%)
job_370: TOTAL: 1025, ACCEPT: 405(39.51%), REJECT: 292(28.49%), RESERVE: 328(32.00%)
job_371: TOTAL: 1143, ACCEPT: 454(39.72%), REJECT: 344(30.10%), RESERVE: 345(30.18%)
job_372: TOTAL: 581, ACCEPT: 243(41.82%), REJECT: 169(29.09%), RESERVE: 169(29.09%)
job_373: TOTAL: 81, ACCEPT: 22(27.16%), REJECT: 59(72.84%), RESERVE: 0(0.00%)
job_374: TOTAL: 827, ACCEPT: 426(51.51%), REJECT: 177(21.40%), RESERVE: 224(27.09%)
job_375: TOTAL: 465, ACCEPT: 245(52.69%), REJECT: 77(16.56%), RESERVE: 143(30.75%)
job_376: TOTAL: 332, ACCEPT: 168(50.60%), REJECT: 73(21.99%), RESERVE: 91(27.41%)
job_377: TOTAL: 209, ACCEPT: 106(50.72%), REJECT: 56(26.79%), RESERVE: 47(22.49%)
job_378: TOTAL: 601, ACCEPT: 234(38.94%), REJECT: 178(29.62%), RESERVE: 189(31.45%)
job_379: TOTAL: 1039, ACCEPT: 462(44.47%), REJECT: 306(29.45%), RESERVE: 271(26.08%)
job_380: TOTAL: 872, ACCEPT: 449(51.49%), REJECT: 197(22.59%), RESERVE: 226(25.92%)
job_381: TOTAL: 551, ACCEPT: 218(39.56%), REJECT: 148(26.86%), RESERVE: 185(33.58%)
job_382: TOTAL: 1296, ACCEPT: 494(38.12%), REJECT: 384(29.63%), RESERVE: 418(32.25%)
job_383: TOTAL: 1028, ACCEPT: 436(42.41%), REJECT: 279(27.14%), RESERVE: 313(30.45%)
job_384: TOTAL: 706, ACCEPT: 269(38.10%), REJECT: 206(29.18%), RESERVE: 231(32.72%)
job_385: TOTAL: 810, ACCEPT: 342(42.22%), REJECT: 216(26.67%), RESERVE: 252(31.11%)
job_386: TOTAL: 12, ACCEPT: 2(16.67%), REJECT: 10(83.33%), RESERVE: 0(0.00%)
job_387: TOTAL: 302, ACCEPT: 107(35.43%), REJECT: 84(27.81%), RESERVE: 111(36.75%)
job_388: TOTAL: 322, ACCEPT: 78(24.22%), REJECT: 124(38.51%), RESERVE: 120(37.27%)
job_389: TOTAL: 836, ACCEPT: 293(35.05%), REJECT: 286(34.21%), RESERVE: 257(30.74%)
job_390: TOTAL: 982, ACCEPT: 410(41.75%), REJECT: 253(25.76%), RESERVE: 319(32.48%)
job_391: TOTAL: 963, ACCEPT: 393(40.81%), REJECT: 273(28.35%), RESERVE: 297(30.84%)
job_392: TOTAL: 648, ACCEPT: 260(40.12%), REJECT: 199(30.71%), RESERVE: 189(29.17%)
job_393: TOTAL: 974, ACCEPT: 431(44.25%), REJECT: 230(23.61%), RESERVE: 313(32.14%)
job_394: TOTAL: 802, ACCEPT: 315(39.28%), REJECT: 229(28.55%), RESERVE: 258(32.17%)
job_395: TOTAL: 982, ACCEPT: 472(48.07%), REJECT: 242(24.64%), RESERVE: 268(27.29%)
job_396: TOTAL: 142, ACCEPT: 53(37.32%), REJECT: 48(33.80%), RESERVE: 41(28.87%)
job_397: TOTAL: 44, ACCEPT: 14(31.82%), REJECT: 30(68.18%), RESERVE: 0(0.00%)
job_398: TOTAL: 260, ACCEPT: 107(41.15%), REJECT: 72(27.69%), RESERVE: 81(31.15%)
job_399: TOTAL: 1096, ACCEPT: 496(45.26%), REJECT: 250(22.81%), RESERVE: 350(31.93%)
job_400: TOTAL: 86, ACCEPT: 38(44.19%), REJECT: 13(15.12%), RESERVE: 35(40.70%)
job_401: TOTAL: 802, ACCEPT: 299(37.28%), REJECT: 252(31.42%), RESERVE: 251(31.30%)
job_402: TOTAL: 819, ACCEPT: 421(51.40%), REJECT: 192(23.44%), RESERVE: 206(25.15%)
job_403: TOTAL: 119, ACCEPT: 86(72.27%), REJECT: 29(24.37%), RESERVE: 4(3.36%)
job_404: TOTAL: 602, ACCEPT: 236(39.20%), REJECT: 144(23.92%), RESERVE: 222(36.88%)
job_405: TOTAL: 489, ACCEPT: 294(60.12%), REJECT: 65(13.29%), RESERVE: 130(26.58%)
job_406: TOTAL: 855, ACCEPT: 299(34.97%), REJECT: 260(30.41%), RESERVE: 296(34.62%)
job_407: TOTAL: 1108, ACCEPT: 451(40.70%), REJECT: 330(29.78%), RESERVE: 327(29.51%)
job_408: TOTAL: 453, ACCEPT: 107(23.62%), REJECT: 166(36.64%), RESERVE: 180(39.74%)
job_409: TOTAL: 1232, ACCEPT: 444(36.04%), REJECT: 405(32.87%), RESERVE: 383(31.09%)
job_410: TOTAL: 699, ACCEPT: 287(41.06%), REJECT: 203(29.04%), RESERVE: 209(29.90%)
job_411: TOTAL: 797, ACCEPT: 296(37.14%), REJECT: 233(29.23%), RESERVE: 268(33.63%)
job_412: TOTAL: 956, ACCEPT: 485(50.73%), REJECT: 209(21.86%), RESERVE: 262(27.41%)
job_413: TOTAL: 1029, ACCEPT: 405(39.36%), REJECT: 297(28.86%), RESERVE: 327(31.78%)
job_414: TOTAL: 35, ACCEPT: 26(74.29%), REJECT: 9(25.71%), RESERVE: 0(0.00%)
job_415: TOTAL: 724, ACCEPT: 311(42.96%), REJECT: 196(27.07%), RESERVE: 217(29.97%)
job_416: TOTAL: 1221, ACCEPT: 500(40.95%), REJECT: 343(28.09%), RESERVE: 378(30.96%)
job_417: TOTAL: 1077, ACCEPT: 442(41.04%), REJECT: 290(26.93%), RESERVE: 345(32.03%)
job_418: TOTAL: 581, ACCEPT: 268(46.13%), REJECT: 166(28.57%), RESERVE: 147(25.30%)
job_419: TOTAL: 117, ACCEPT: 24(20.51%), REJECT: 70(59.83%), RESERVE: 23(19.66%)
job_420: TOTAL: 901, ACCEPT: 357(39.62%), REJECT: 245(27.19%), RESERVE: 299(33.19%)
job_421: TOTAL: 848, ACCEPT: 366(43.16%), REJECT: 242(28.54%), RESERVE: 240(28.30%)
job_422: TOTAL: 148, ACCEPT: 50(33.78%), REJECT: 8(5.41%), RESERVE: 90(60.81%)
job_423: TOTAL: 220, ACCEPT: 55(25.00%), REJECT: 91(41.36%), RESERVE: 74(33.64%)
job_424: TOTAL: 152, ACCEPT: 33(21.71%), REJECT: 79(51.97%), RESERVE: 40(26.32%)
job_425: TOTAL: 577, ACCEPT: 189(32.76%), REJECT: 222(38.47%), RESERVE: 166(28.77%)
job_426: TOTAL: 328, ACCEPT: 101(30.79%), REJECT: 121(36.89%), RESERVE: 106(32.32%)
job_427: TOTAL: 239, ACCEPT: 196(82.01%), REJECT: 24(10.04%), RESERVE: 19(7.95%)
job_428: TOTAL: 90, ACCEPT: 52(57.78%), REJECT: 11(12.22%), RESERVE: 27(30.00%)
job_429: TOTAL: 171, ACCEPT: 38(22.22%), REJECT: 79(46.20%), RESERVE: 54(31.58%)
job_430: TOTAL: 393, ACCEPT: 167(42.49%), REJECT: 90(22.90%), RESERVE: 136(34.61%)
job_431: TOTAL: 114, ACCEPT: 103(90.35%), REJECT: 1(0.88%), RESERVE: 10(8.77%)
job_432: TOTAL: 899, ACCEPT: 418(46.50%), REJECT: 228(25.36%), RESERVE: 253(28.14%)
job_433: TOTAL: 48, ACCEPT: 37(77.08%), REJECT: 11(22.92%), RESERVE: 0(0.00%)
job_434: TOTAL: 382, ACCEPT: 109(28.53%), REJECT: 138(36.13%), RESERVE: 135(35.34%)
job_435: TOTAL: 1195, ACCEPT: 455(38.08%), REJECT: 343(28.70%), RESERVE: 397(33.22%)
job_436: TOTAL: 933, ACCEPT: 366(39.23%), REJECT: 261(27.97%), RESERVE: 306(32.80%)
job_437: TOTAL: 76, ACCEPT: 49(64.47%), REJECT: 8(10.53%), RESERVE: 19(25.00%)
job_438: TOTAL: 942, ACCEPT: 211(22.40%), REJECT: 617(65.50%), RESERVE: 114(12.10%)
job_439: TOTAL: 387, ACCEPT: 183(47.29%), REJECT: 117(30.23%), RESERVE: 87(22.48%)
job_440: TOTAL: 963, ACCEPT: 421(43.72%), REJECT: 244(25.34%), RESERVE: 298(30.94%)
job_441: TOTAL: 963, ACCEPT: 452(46.94%), REJECT: 239(24.82%), RESERVE: 272(28.25%)
job_442: TOTAL: 1060, ACCEPT: 430(40.57%), REJECT: 311(29.34%), RESERVE: 319(30.09%)
job_443: TOTAL: 127, ACCEPT: 67(52.76%), REJECT: 20(15.75%), RESERVE: 40(31.50%)
job_444: TOTAL: 188, ACCEPT: 25(13.30%), REJECT: 62(32.98%), RESERVE: 101(53.72%)
job_445: TOTAL: 625, ACCEPT: 252(40.32%), REJECT: 178(28.48%), RESERVE: 195(31.20%)
job_446: TOTAL: 2268, ACCEPT: 330(14.55%), REJECT: 1570(69.22%), RESERVE: 368(16.23%)
job_447: TOTAL: 341, ACCEPT: 101(29.62%), REJECT: 146(42.82%), RESERVE: 94(27.57%)
job_448: TOTAL: 313, ACCEPT: 94(30.03%), REJECT: 141(45.05%), RESERVE: 78(24.92%)
job_449: TOTAL: 701, ACCEPT: 292(41.65%), REJECT: 200(28.53%), RESERVE: 209(29.81%)
job_450: TOTAL: 343, ACCEPT: 125(36.44%), REJECT: 137(39.94%), RESERVE: 81(23.62%)
job_451: TOTAL: 99, ACCEPT: 85(85.86%), REJECT: 3(3.03%), RESERVE: 11(11.11%)
job_452: TOTAL: 845, ACCEPT: 303(35.86%), REJECT: 232(27.46%), RESERVE: 310(36.69%)
job_453: TOTAL: 372, ACCEPT: 134(36.02%), REJECT: 128(34.41%), RESERVE: 110(29.57%)
job_454: TOTAL: 1040, ACCEPT: 424(40.77%), REJECT: 315(30.29%), RESERVE: 301(28.94%)
job_455: TOTAL: 827, ACCEPT: 438(52.96%), REJECT: 188(22.73%), RESERVE: 201(24.30%)
job_456: TOTAL: 831, ACCEPT: 289(34.78%), REJECT: 288(34.66%), RESERVE: 254(30.57%)
job_457: TOTAL: 456, ACCEPT: 168(36.84%), REJECT: 126(27.63%), RESERVE: 162(35.53%)
job_458: TOTAL: 531, ACCEPT: 77(14.50%), REJECT: 353(66.48%), RESERVE: 101(19.02%)
job_459: TOTAL: 577, ACCEPT: 320(55.46%), REJECT: 121(20.97%), RESERVE: 136(23.57%)
job_460: TOTAL: 440, ACCEPT: 148(33.64%), REJECT: 152(34.55%), RESERVE: 140(31.82%)
job_461: TOTAL: 508, ACCEPT: 412(81.10%), REJECT: 96(18.90%), RESERVE: 0(0.00%)
job_462: TOTAL: 236, ACCEPT: 73(30.93%), REJECT: 73(30.93%), RESERVE: 90(38.14%)
job_463: TOTAL: 2992, ACCEPT: 309(10.33%), REJECT: 2463(82.32%), RESERVE: 220(7.35%)
job_464: TOTAL: 296, ACCEPT: 90(30.41%), REJECT: 123(41.55%), RESERVE: 83(28.04%)
job_465: TOTAL: 264, ACCEPT: 79(29.92%), REJECT: 104(39.39%), RESERVE: 81(30.68%)
job_466: TOTAL: 1043, ACCEPT: 477(45.73%), REJECT: 239(22.91%), RESERVE: 327(31.35%)
job_467: TOTAL: 1075, ACCEPT: 438(40.74%), REJECT: 294(27.35%), RESERVE: 343(31.91%)
job_468: TOTAL: 378, ACCEPT: 197(52.12%), REJECT: 56(14.81%), RESERVE: 125(33.07%)
job_469: TOTAL: 479, ACCEPT: 242(50.52%), REJECT: 114(23.80%), RESERVE: 123(25.68%)
job_470: TOTAL: 134, ACCEPT: 101(75.37%), REJECT: 19(14.18%), RESERVE: 14(10.45%)
job_471: TOTAL: 831, ACCEPT: 409(49.22%), REJECT: 187(22.50%), RESERVE: 235(28.28%)
job_472: TOTAL: 197, ACCEPT: 77(39.09%), REJECT: 36(18.27%), RESERVE: 84(42.64%)
job_473: TOTAL: 1028, ACCEPT: 150(14.59%), REJECT: 777(75.58%), RESERVE: 101(9.82%)
job_474: TOTAL: 589, ACCEPT: 243(41.26%), REJECT: 155(26.32%), RESERVE: 191(32.43%)
job_475: TOTAL: 302, ACCEPT: 123(40.73%), REJECT: 81(26.82%), RESERVE: 98(32.45%)
job_476: TOTAL: 796, ACCEPT: 332(41.71%), REJECT: 226(28.39%), RESERVE: 238(29.90%)
job_477: TOTAL: 547, ACCEPT: 229(41.86%), REJECT: 152(27.79%), RESERVE: 166(30.35%)
job_478: TOTAL: 277, ACCEPT: 91(32.85%), REJECT: 87(31.41%), RESERVE: 99(35.74%)
job_479: TOTAL: 226, ACCEPT: 118(52.21%), REJECT: 62(27.43%), RESERVE: 46(20.35%)
job_480: TOTAL: 44, ACCEPT: 10(22.73%), REJECT: 25(56.82%), RESERVE: 9(20.45%)
job_481: TOTAL: 447, ACCEPT: 154(34.45%), REJECT: 178(39.82%), RESERVE: 115(25.73%)
job_482: TOTAL: 547, ACCEPT: 215(39.31%), REJECT: 167(30.53%), RESERVE: 165(30.16%)
job_483: TOTAL: 88, ACCEPT: 19(21.59%), REJECT: 68(77.27%), RESERVE: 1(1.14%)
job_484: TOTAL: 763, ACCEPT: 337(44.17%), REJECT: 197(25.82%), RESERVE: 229(30.01%)
job_485: TOTAL: 995, ACCEPT: 350(35.18%), REJECT: 322(32.36%), RESERVE: 323(32.46%)
job_486: TOTAL: 709, ACCEPT: 258(36.39%), REJECT: 194(27.36%), RESERVE: 257(36.25%)
job_487: TOTAL: 451, ACCEPT: 167(37.03%), REJECT: 146(32.37%), RESERVE: 138(30.60%)
job_488: TOTAL: 681, ACCEPT: 284(41.70%), REJECT: 191(28.05%), RESERVE: 206(30.25%)
job_489: TOTAL: 389, ACCEPT: 140(35.99%), REJECT: 124(31.88%), RESERVE: 125(32.13%)
job_490: TOTAL: 707, ACCEPT: 269(38.05%), REJECT: 219(30.98%), RESERVE: 219(30.98%)
job_491: TOTAL: 320, ACCEPT: 98(30.62%), REJECT: 117(36.56%), RESERVE: 105(32.81%)
job_492: TOTAL: 364, ACCEPT: 124(34.07%), REJECT: 115(31.59%), RESERVE: 125(34.34%)
job_493: TOTAL: 23, ACCEPT: 11(47.83%), REJECT: 12(52.17%), RESERVE: 0(0.00%)
job_494: TOTAL: 567, ACCEPT: 215(37.92%), REJECT: 186(32.80%), RESERVE: 166(29.28%)
